"filename", "language", "Markdown", "JavaScript", "pip requirements", "PostCSS", "JavaScript JSX", "JSON", "HTML", "Python", "JSON Lines", "comment", "blank", "total"
"d:\college\Iota-Cluster\valhalla\backend\src\core\runtime_health.py", "Python", 0, 0, 0, 0, 0, 0, 0, 89, 0, 14, 14, 117
"d:\college\Iota-Cluster\valhalla\backend\src\core\snapshot.py", "Python", 0, 0, 0, 0, 0, 0, 0, 95, 0, 81, 32, 208
"d:\college\Iota-Cluster\valhalla\backend\src\core\tick_graph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 381, 0, 48, 108, 537
"d:\college\Iota-Cluster\valhalla\backend\src\core\world_engine.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1586, 0, 295, 158, 2039
"d:\college\Iota-Cluster\valhalla\backend\src\core\world_events.py", "Python", 0, 0, 0, 0, 0, 0, 0, 194, 0, 17, 36, 247
"d:\college\Iota-Cluster\valhalla\backend\src\core\world_state.py", "Python", 0, 0, 0, 0, 0, 0, 0, 129, 0, 88, 44, 261
"d:\college\Iota-Cluster\valhalla\backend\src\llm\gemini_client.py", "Python", 0, 0, 0, 0, 0, 0, 0, 293, 0, 110, 84, 487
"d:\college\Iota-Cluster\valhalla\backend\tools\sidecar_monitor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 171, 0, 11, 25, 207
"d:\college\Iota-Cluster\valhalla\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\college\Iota-Cluster\valhalla\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1028, 0, 0, 0, 0, 1, 1029
"d:\college\Iota-Cluster\valhalla\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"d:\college\Iota-Cluster\valhalla\frontend\src\App.css", "PostCSS", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 12, 99
"d:\college\Iota-Cluster\valhalla\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 0, 0, 0, 4, 13, 158
"d:\college\Iota-Cluster\valhalla\frontend\src\components\ActionDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 3, 52
"d:\college\Iota-Cluster\valhalla\frontend\src\components\AgentWindow.jsx", "JavaScript JSX", 0, 0, 0, 0, 224, 0, 0, 0, 0, 14, 18, 256
"d:\college\Iota-Cluster\valhalla\frontend\src\components\ChatBubble.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"d:\college\Iota-Cluster\valhalla\frontend\src\components\ChatPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"d:\college\Iota-Cluster\valhalla\frontend\src\components\ConversationFeed.jsx", "JavaScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 0, 1, 6, 118
"d:\college\Iota-Cluster\valhalla\frontend\src\components\DebugPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"d:\college\Iota-Cluster\valhalla\frontend\src\components\EventsPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"d:\college\Iota-Cluster\valhalla\frontend\src\components\InfoBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 3, 133
"d:\college\Iota-Cluster\valhalla\frontend\src\components\Legend.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 2, 66
"d:\college\Iota-Cluster\valhalla\frontend\src\components\RosterManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 6, 66
"d:\college\Iota-Cluster\valhalla\frontend\src\components\SimCanvas.jsx", "JavaScript JSX", 0, 0, 0, 0, 207, 0, 0, 0, 0, 15, 23, 245
"d:\college\Iota-Cluster\valhalla\frontend\src\components\WindowHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 2, 51
"d:\college\Iota-Cluster\valhalla\frontend\src\hooks\useSimState.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 8, 51
"d:\college\Iota-Cluster\valhalla\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\college\Iota-Cluster\valhalla\frontend\src\utils\lerp.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\college\Iota-Cluster\valhalla\frontend\tiles\agent_path_tiles.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\college\Iota-Cluster\valhalla\frontend\tiles\tilles.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, 0, 0, 131109, 0, 1, 131110
"d:\college\Iota-Cluster\valhalla\frontend\vite.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\college\Iota-Cluster\valhalla\requirements.txt", "pip requirements", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 1, 14
"Total", "-", 242, 62, 11, 87, 1187, 6391, 15, 7585, 131109, 1830, 1781, 150300
