Date : 2026-07-23 17:18:55
Directory : d:\college\Iota-Cluster\valhalla
Total : 71 files,  146689 codes, 1830 comments, 1781 blanks, all 150300 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| frontend\src                                                                                   |         17 |      1,318 |         37 |        109 |      1,464 |
| frontend\src (Files)                                                                           |          3 |        236 |          4 |         27 |        267 |
| frontend\src\components                                                                        |         12 |      1,038 |         31 |         73 |      1,142 |
| frontend\src\hooks                                                                             |          1 |         41 |          2 |          8 |         51 |
| frontend\src\utils                                                                             |          1 |          3 |          0 |          1 |          4 |
| frontend\tiles                                                                                 |          2 |    131,110 |          0 |          1 |    131,111 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                       | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\college\Iota-Cluster\valhalla\README.md                                                     | Markdown         |        242 |          0 |         78 |        320 |
| d:\college\Iota-Cluster\valhalla\backend\Odin.py                                               | Python           |        709 |         77 |        149 |        935 |
| d:\college\Iota-Cluster\valhalla\backend\Pathfinder_test.py                                    | Python           |         59 |          5 |         17 |         81 |
| d:\college\Iota-Cluster\valhalla\backend\data\environment\buildings_polygon_decomposed.json    | JSON             |      3,878 |          0 |          0 |      3,878 |
| d:\college\Iota-Cluster\valhalla\backend\data\environment\entrypoint.json                      | JSON             |        240 |          0 |          0 |        240 |
| d:\college\Iota-Cluster\valhalla\backend\data\environment\events_calendar.json                 | JSON             |         56 |          0 |          1 |         57 |
| d:\college\Iota-Cluster\valhalla\backend\data\environment\instances_default.json               | JSON             |          1 |          0 |          0 |          1 |
| d:\college\Iota-Cluster\valhalla\backend\data\environment\places.json                          | JSON             |        253 |          0 |         21 |        274 |
| d:\college\Iota-Cluster\valhalla\backend\data\environment\relationship_matrix.json             | JSON             |        725 |          0 |          0 |        725 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\ankit\ankit.json                   | JSON             |         15 |          0 |          1 |         16 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\ansh_batra\ansh_batra.json         | JSON             |         15 |          0 |          1 |         16 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\anubhav\anubhav.json               | JSON             |         14 |          0 |          2 |         16 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\ganishat\ganishat.json             | JSON             |         59 |          0 |          1 |         60 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\gurnoor\gurnoor.json               | JSON             |         14 |          0 |          0 |         14 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\lavanya_sharma\lavanya_sharma.json | JSON             |         15 |          0 |          1 |         16 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\parv\parv.json                     | JSON             |         13 |          0 |          2 |         15 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\riya_murarka\riya_murarka.json     | JSON             |         15 |          0 |          1 |         16 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\saksham\saksham.json               | JSON             |         15 |          0 |          1 |         16 |
| d:\college\Iota-Cluster\valhalla\backend\data\personalities\tanishq\tanishq.json               | JSON             |         14 |          0 |          1 |         15 |
| d:\college\Iota-Cluster\valhalla\backend\pathfinder.py                                         | Python           |         87 |         12 |         16 |        115 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\Actions.py                                 | Python           |        526 |        157 |        100 |        783 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\Long_term.py                               | Python           |         19 |         14 |         13 |         46 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\Short_term.py                              | Python           |        323 |        141 |         95 |        559 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\Single_agent.py                            | Python           |        138 |         39 |         47 |        224 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\autonomy.py                                | Python           |          8 |          8 |          5 |         21 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\body.py                                    | Python           |         30 |         27 |         15 |         72 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\brain.py                                   | Python           |        142 |         19 |         26 |        187 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\conversation.py                            | Python           |        558 |        120 |        113 |        791 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\daily_flavor.py                            | Python           |         30 |          7 |          9 |         46 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\day_planner.py                             | Python           |        765 |        146 |        163 |      1,074 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\memory_index.py                            | Python           |         76 |          9 |         11 |         96 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\react.py                                   | Python           |         34 |         18 |         18 |         70 |
| d:\college\Iota-Cluster\valhalla\backend\src\agents\vector_memory.py                           | Python           |        411 |         60 |         44 |        515 |
| d:\college\Iota-Cluster\valhalla\backend\src\config.py                                         | Python           |        214 |        105 |         69 |        388 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\agent_registry.py                            | Python           |         46 |         13 |         18 |         77 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\budget.py                                    | Python           |         78 |         23 |         20 |        121 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\checkpoint_manager.py                        | Python           |        219 |         49 |         58 |        326 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\log.py                                       | Python           |         76 |         51 |         19 |        146 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\perceive.py                                  | Python           |         99 |         27 |         28 |        154 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\runtime_health.py                            | Python           |         89 |         14 |         14 |        117 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\snapshot.py                                  | Python           |         95 |         81 |         32 |        208 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\tick_graph.py                                | Python           |        381 |         48 |        108 |        537 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\world_engine.py                              | Python           |      1,586 |        295 |        158 |      2,039 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\world_events.py                              | Python           |        194 |         17 |         36 |        247 |
| d:\college\Iota-Cluster\valhalla\backend\src\core\world_state.py                               | Python           |        129 |         88 |         44 |        261 |
| d:\college\Iota-Cluster\valhalla\backend\src\llm\gemini_client.py                              | Python           |        293 |        110 |         84 |        487 |
| d:\college\Iota-Cluster\valhalla\backend\tools\sidecar_monitor.py                              | Python           |        171 |         11 |         25 |        207 |
| d:\college\Iota-Cluster\valhalla\frontend\index.html                                           | HTML             |         15 |          0 |          1 |         16 |
| d:\college\Iota-Cluster\valhalla\frontend\package-lock.json                                    | JSON             |      1,028 |          0 |          1 |      1,029 |
| d:\college\Iota-Cluster\valhalla\frontend\package.json                                         | JSON             |         20 |          0 |          1 |         21 |
| d:\college\Iota-Cluster\valhalla\frontend\src\App.css                                          | PostCSS          |         87 |          0 |         12 |         99 |
| d:\college\Iota-Cluster\valhalla\frontend\src\App.jsx                                          | JavaScript JSX   |        141 |          4 |         13 |        158 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\ActionDetail.jsx                      | JavaScript JSX   |         49 |          0 |          3 |         52 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\AgentWindow.jsx                       | JavaScript JSX   |        224 |         14 |         18 |        256 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\ChatBubble.jsx                        | JavaScript JSX   |         27 |          0 |          1 |         28 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\ChatPanel.jsx                         | JavaScript JSX   |         52 |          0 |          5 |         57 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\ConversationFeed.jsx                  | JavaScript JSX   |        111 |          1 |          6 |        118 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\DebugPanel.jsx                        | JavaScript JSX   |         22 |          0 |          1 |         23 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\EventsPanel.jsx                       | JavaScript JSX   |         44 |          0 |          3 |         47 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\InfoBar.jsx                           | JavaScript JSX   |        130 |          0 |          3 |        133 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\Legend.jsx                            | JavaScript JSX   |         63 |          1 |          2 |         66 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\RosterManager.jsx                     | JavaScript JSX   |         60 |          0 |          6 |         66 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\SimCanvas.jsx                         | JavaScript JSX   |        207 |         15 |         23 |        245 |
| d:\college\Iota-Cluster\valhalla\frontend\src\components\WindowHeader.jsx                      | JavaScript JSX   |         49 |          0 |          2 |         51 |
| d:\college\Iota-Cluster\valhalla\frontend\src\hooks\useSimState.js                             | JavaScript       |         41 |          2 |          8 |         51 |
| d:\college\Iota-Cluster\valhalla\frontend\src\main.jsx                                         | JavaScript JSX   |          8 |          0 |          2 |         10 |
| d:\college\Iota-Cluster\valhalla\frontend\src\utils\lerp.js                                    | JavaScript       |          3 |          0 |          1 |          4 |
| d:\college\Iota-Cluster\valhalla\frontend\tiles\agent_path_tiles.json                          | JSON             |          1 |          0 |          0 |          1 |
| d:\college\Iota-Cluster\valhalla\frontend\tiles\tilles.jsonl                                   | JSON Lines       |    131,109 |          0 |          1 |    131,110 |
| d:\college\Iota-Cluster\valhalla\frontend\vite.config.js                                       | JavaScript       |         18 |          0 |          2 |         20 |
| d:\college\Iota-Cluster\valhalla\requirements.txt                                              | pip requirements |         11 |          2 |          1 |         14 |
| Total                                                                                          |                  |    146,689 |      1,830 |      1,781 |    150,300 |
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
